Title,Author,Rate
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50
To Kill a Mockingbird,Harper Lee,4.27
Pride and Prejudice,Jane Austen,4.27
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62
The Book Thief,Markus Zusak,4.38
Animal Farm,George Orwell,3.97
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.60
The Fault in Our Stars,John Green,4.17
Gone with the Wind,Margaret Mitchell,4.30
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22
The Giving Tree,Shel Silverstein,4.37
Wuthering Heights,Emily Brontë,3.87
The Picture of Dorian Gray,Oscar Wilde,4.10
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88
Jane Eyre,Charlotte Brontë,4.14
Memoirs of a Geisha,Arthur Golden,4.13
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06
The Perks of Being a Wallflower,Stephen Chbosky,4.21
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.48
Fahrenheit 451,Ray Bradbury,3.98
Les Misérables,Victor Hugo,4.19
"Divergent (Divergent, #1)",Veronica Roth,4.17
The Great Gatsby,F. Scott Fitzgerald,3.93
The Alchemist,Paulo Coelho,3.89
Crime and Punishment,Fyodor Dostoevsky,4.24
Lord of the Flies,William Golding,3.69
Romeo and Juliet,William Shakespeare,3.75
The Little Prince,Antoine de Saint-Exupéry,4.31
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.09
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.28
The Help,Kathryn Stockett,4.46
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.30
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.28
Charlotte's Web,E.B. White,4.18
Of Mice and Men,John Steinbeck,3.88
Dracula,Bram Stoker,4.00
The Time Traveler's Wife,Audrey Niffenegger,3.98
Brave New World,Aldous Huxley,3.99
One Hundred Years of Solitude,Gabriel García Márquez,4.10
The Catcher in the Rye,J.D. Salinger,3.81
The Princess Bride,William Goldman,4.26
A Thousand Splendid Suns,Khaled Hosseini,4.40
The Secret Garden,Frances Hodgson Burnett,4.14
